80 40
################################################################################
###################           ##################################################
###################    ###### ##################################################
######        ###############        ###########################################
######                 ############# ###########################################
######        ######## ############# ###########################################
########## ########### ####       ## ###########################################
########## ########### #### @     ## ###########################################
########## ########### ####       ## ###########################################
########## ########### ####### ##### ###########################################
########## ########       #### ##### ###########################################
#########    ######                  ###########################################
#########                 ######################################################
###################### #########################################################
###################### #########################################################
###################### #########################################################
###################### #########################################################
###################### #########################################################
################################################################################
################################################################################
################################################################################
################################################################################
################################################################################
################################################################################
################################################################################
################################################################################
################################################################################
################################################################################
################################################################################
################################################################################
################################################################################
################################################################################
################################################################################
################################################################################
################################################################################
################################################################################
################################################################################
################################################################################
################################################################################
################################################################################
